id,roomid,parentid,created_time,type,content,username,useraddress
4543,2882,\N,"2014-10-16 20:20:11","text","Thanks for this pleasant chat. That's it for today. I will see you again once the course has started. Then we will have the opportunity to discuss what you have learned in the lessons. Have a good time. ","VirtualCarolyn","128.2.220.118:34182"
4544,2882,\N,"2014-10-16 20:20:23","ready","global unready","VirtualCarolyn","128.2.220.118:34182"
4545,2882,\N,"2014-10-16 20:20:26","presence","leave","VirtualCarolyn","128.2.220.118:34182"
4546,2882,\N,"2014-10-16 20:20:35","ready","ready","diyi","128.237.196.207:57963"
4547,2882,\N,"2014-10-16 20:21:01","text","so fancy","mwen","128.2.214.35:55407"
4548,2882,\N,"2014-10-16 20:21:49","image","http://images.clipartpanda.com/cat-20clip-20art-pet-cat-clipart-880x1024.png","diyi","128.237.196.207:57963"
4549,2882,\N,"2014-10-16 20:22:05","image","http://i.imgur.com/Z0TII8i.mp4","mwen","128.2.214.35:55407"
4550,2882,\N,"2014-10-16 20:22:16","image","http://i.imgur.com/xDyQGEyb.jpg","mwen","128.2.214.35:55407"
4551,2882,\N,"2014-10-16 20:22:40","image","http://i.imgur.com/xDyQGEy.jpg","mwen","128.2.214.35:55407"
4552,2882,\N,"2014-10-16 20:23:01","text","byebye!!","diyi","128.237.196.207:57963"
4553,2882,\N,"2014-10-16 20:23:04","text","88","mwen","128.2.214.35:55407"
4554,2882,\N,"2014-10-16 20:23:08","presence","leave","diyi","128.237.196.207:57963"
4555,2882,\N,"2014-10-16 20:23:13","presence","leave","mwen","128.2.214.35:55407"
4556,2885,\N,"2014-10-16 20:31:29","presence","join","VirtualCarolyn","128.2.220.118:34184"
4557,2885,\N,"2014-10-16 20:31:49","presence","join","Odessa","67.204.45.46:50581"
4558,2885,\N,"2014-10-16 20:31:51","text","Hi, I'm VirtualCarolyn. Throughout this course, I will be facilitating your group discussions about the course material.","VirtualCarolyn","128.2.220.118:34184"
4559,2885,\N,"2014-10-16 20:31:57","text","Let's start by introducing yourselves. Take a minute to get to know each other.","VirtualCarolyn","128.2.220.118:34184"
4560,2885,\N,"2014-10-16 20:31:59","text","Hi Carolyn","Odessa","67.204.45.46:50581"
4561,2885,\N,"2014-10-16 20:32:03","text","When you've finished introducing each other, press the \We're Ready\ button (or type \ready\) to begin.","VirtualCarolyn","128.2.220.118:34184"
4562,2888,\N,"2014-10-16 20:32:44","presence","join","VirtualCarolyn","128.2.220.118:34187"
4563,2887,\N,"2014-10-16 20:32:44","presence","join","VirtualCarolyn","128.2.220.118:34186"
4564,2889,\N,"2014-10-16 20:32:44","presence","join","VirtualCarolyn","128.2.220.118:34188"
4565,2888,\N,"2014-10-16 20:32:52","presence","join","CarolynRose","128.2.210.208:54120"
4566,2888,\N,"2014-10-16 20:32:52","text","Hi, I'm VirtualCarolyn. Throughout this course, I will be facilitating your group discussions about the course material.","VirtualCarolyn","128.2.220.118:34187"
4567,2888,\N,"2014-10-16 20:32:58","text","Let's start by introducing yourselves. Take a minute to get to know each other.","VirtualCarolyn","128.2.220.118:34187"
4568,2888,\N,"2014-10-16 20:33:04","text","When you've finished introducing each other, press the \We're Ready\ button (or type \ready\) to begin.","VirtualCarolyn","128.2.220.118:34187"
4569,2887,\N,"2014-10-16 20:33:17","presence","join","JeffKCT","68.196.18.77:54844"
4570,2887,\N,"2014-10-16 20:33:18","text","Hi, I'm VirtualCarolyn. Throughout this course, I will be facilitating your group discussions about the course material.","VirtualCarolyn","128.2.220.118:34186"
4571,2887,\N,"2014-10-16 20:33:24","text","Let's start by introducing yourselves. Take a minute to get to know each other.","VirtualCarolyn","128.2.220.118:34186"
4572,2889,\N,"2014-10-16 20:33:24","presence","join","DavidFulcher","130.130.37.85:50343"
4573,2889,\N,"2014-10-16 20:33:26","text","Hi, I'm VirtualCarolyn. Throughout this course, I will be facilitating your group discussions about the course material.","VirtualCarolyn","128.2.220.118:34188"
4574,2887,\N,"2014-10-16 20:33:30","text","When you've finished introducing each other, press the \We're Ready\ button (or type \ready\) to begin.","VirtualCarolyn","128.2.220.118:34186"
4575,2887,\N,"2014-10-16 20:33:31","text","Testing","JeffKCT","68.196.18.77:54844"
4576,2888,\N,"2014-10-16 20:33:31","presence","join","Oli","128.2.214.33:59609"
4577,2889,\N,"2014-10-16 20:33:32","text","Let's start by introducing yourselves. Take a minute to get to know each other.","VirtualCarolyn","128.2.220.118:34188"
4578,2885,\N,"2014-10-16 20:33:33","presence","join","Oliver","128.2.214.33:59609"
4579,2889,\N,"2014-10-16 20:33:38","text","When you've finished introducing each other, press the \We're Ready\ button (or type \ready\) to begin.","VirtualCarolyn","128.2.220.118:34188"
4580,2888,\N,"2014-10-16 20:33:39","text","Hi Oli","CarolynRose","128.2.210.208:54120"
4581,2888,\N,"2014-10-16 20:33:44","text","Welcome to the course!!","CarolynRose","128.2.210.208:54120"
4582,2888,\N,"2014-10-16 20:33:47","presence","join","Oli","128.2.214.33:59609"
4583,2888,\N,"2014-10-16 20:33:47","text","I am Carolyn","CarolynRose","128.2.210.208:54120"
4584,2885,\N,"2014-10-16 20:33:52","text","Hi Oliver,","Odessa","67.204.45.46:50581"
4585,2888,\N,"2014-10-16 20:33:57","text","Hi","Oli","128.2.214.33:59609"
4586,2888,\N,"2014-10-16 20:33:58","text","Can you tell me something about yourself?","CarolynRose","128.2.210.208:54120"
4587,2889,\N,"2014-10-16 20:34:01","text","Hello World","DavidFulcher","130.130.37.85:50343"
4588,2888,\N,"2014-10-16 20:34:03","text","Welcome!","CarolynRose","128.2.210.208:54120"
4589,2888,\N,"2014-10-16 20:34:05","text","How are you","Oli","128.2.214.33:59609"
4590,2888,\N,"2014-10-16 20:34:09","text","great!","CarolynRose","128.2.210.208:54120"
4591,2896,\N,"2014-10-16 20:34:19","presence","join","VirtualCarolyn","128.2.220.118:34192"
4592,2897,\N,"2014-10-16 20:34:19","presence","join","VirtualCarolyn","128.2.220.118:34193"
4593,2898,\N,"2014-10-16 20:34:19","presence","join","VirtualCarolyn","128.2.220.118:34194"
4594,2888,\N,"2014-10-16 20:34:23","text","i am excited about this course, how about you?","CarolynRose","128.2.210.208:54120"
4595,2896,\N,"2014-10-16 20:34:27","presence","join","jiyoungoh","50.53.38.68:55056"
4596,2888,\N,"2014-10-16 20:34:28","text","let&#39;s move on to the next step","CarolynRose","128.2.210.208:54120"
4597,2896,\N,"2014-10-16 20:34:29","text","Hi, I'm VirtualCarolyn. Throughout this course, I will be facilitating your group discussions about the course material.","VirtualCarolyn","128.2.220.118:34192"
4598,2897,\N,"2014-10-16 20:34:29","presence","join","Sakinah","132.234.107.53:50424"
4599,2888,\N,"2014-10-16 20:34:30","ready","ready","CarolynRose","128.2.210.208:54120"
4600,2897,\N,"2014-10-16 20:34:31","text","Hi, I'm VirtualCarolyn. Throughout this course, I will be facilitating your group discussions about the course material.","VirtualCarolyn","128.2.220.118:34193"
4601,2888,\N,"2014-10-16 20:34:33","text","Me too. I am looking forward to the course","Oli","128.2.214.33:59609"
4602,2898,\N,"2014-10-16 20:34:35","presence","join","George","129.107.25.207:55010"
4603,2896,\N,"2014-10-16 20:34:35","text","Let's start by introducing yourselves. Take a minute to get to know each other.","VirtualCarolyn","128.2.220.118:34192"
4604,2898,\N,"2014-10-16 20:34:35","text","Hi, I'm VirtualCarolyn. Throughout this course, I will be facilitating your group discussions about the course material.","VirtualCarolyn","128.2.220.118:34194"
4605,2887,\N,"2014-10-16 20:34:35","text","Testing again","JeffKCT","68.196.18.77:54844"
4606,2888,\N,"2014-10-16 20:34:36","text","Great. Next, I would like you to discuss your expectations of this course. Why did you enroll in the course and what do you hope to take away from it?","VirtualCarolyn","128.2.220.118:34187"
4607,2897,\N,"2014-10-16 20:34:37","text","Let's start by introducing yourselves. Take a minute to get to know each other.","VirtualCarolyn","128.2.220.118:34193"
4608,2887,\N,"2014-10-16 20:34:37","ready","ready","JeffKCT","68.196.18.77:54844"
4609,2887,\N,"2014-10-16 20:34:38","text","Great. Next, I would like you to discuss your expectations of this course. Why did you enroll in the course and what do you hope to take away from it?","VirtualCarolyn","128.2.220.118:34186"
4610,2896,\N,"2014-10-16 20:34:41","text","When you've finished introducing each other, press the \We're Ready\ button (or type \ready\) to begin.","VirtualCarolyn","128.2.220.118:34192"
4611,2898,\N,"2014-10-16 20:34:41","text","Let's start by introducing yourselves. Take a minute to get to know each other.","VirtualCarolyn","128.2.220.118:34194"
4612,2898,\N,"2014-10-16 20:34:42","presence","join","JamesPhyland","128.250.5.247:48668"
4613,2896,\N,"2014-10-16 20:34:42","presence","join","LisaDavis","174.108.2.50:58926"
4614,2898,\N,"2014-10-16 20:34:42","text","hello virtual Carolyn","George","129.107.25.207:55010"
4615,2897,\N,"2014-10-16 20:34:43","text","When you've finished introducing each other, press the \We're Ready\ button (or type \ready\) to begin.","VirtualCarolyn","128.2.220.118:34193"
4616,2888,\N,"2014-10-16 20:34:46","ready","global unready","VirtualCarolyn","128.2.220.118:34187"
4617,2898,\N,"2014-10-16 20:34:47","text","When you've finished introducing each other, press the \We're Ready\ button (or type \ready\) to begin.","VirtualCarolyn","128.2.220.118:34194"
4618,2887,\N,"2014-10-16 20:34:48","ready","global unready","VirtualCarolyn","128.2.220.118:34186"
4619,2888,\N,"2014-10-16 20:34:48","ready","global unready","VirtualCarolyn","128.2.220.118:34187"
4620,2898,\N,"2014-10-16 20:34:49","text","and James","George","129.107.25.207:55010"
4621,2887,\N,"2014-10-16 20:34:50","ready","global unready","VirtualCarolyn","128.2.220.118:34186"
4622,2888,\N,"2014-10-16 20:34:50","text","Take your time to discuss this - we'll move on when everyone is ready.","VirtualCarolyn","128.2.220.118:34187"
4623,2887,\N,"2014-10-16 20:34:52","text","Take your time to discuss this - we'll move on when everyone is ready.","VirtualCarolyn","128.2.220.118:34186"
4624,2898,\N,"2014-10-16 20:34:56","text","are we ready James?","George","129.107.25.207:55010"
4625,2898,\N,"2014-10-16 20:34:59","text","Hi - I am James","JamesPhyland","128.250.5.247:48668"
4626,2888,\N,"2014-10-16 20:35:01","text","I expect to be watching the course in addition to being the instructor for the text mining unit","CarolynRose","128.2.210.208:54120"
4627,2898,\N,"2014-10-16 20:35:05","text","We&#39;re Ready","George","129.107.25.207:55010"
4628,2888,\N,"2014-10-16 20:35:08","text","what are you hoping to learn?","CarolynRose","128.2.210.208:54120"
4629,2898,\N,"2014-10-16 20:35:09","text","Yep","JamesPhyland","128.250.5.247:48668"
4630,2887,\N,"2014-10-16 20:35:09","presence","join","Mesbah","79.170.54.231:3658"
4631,2905,\N,"2014-10-16 20:35:14","presence","join","VirtualCarolyn","128.2.220.118:34198"
4632,2906,\N,"2014-10-16 20:35:14","presence","join","VirtualCarolyn","128.2.220.118:34199"
4633,2896,\N,"2014-10-16 20:35:15","text","Hello. I am listening in from Portland, oregon.","jiyoungoh","50.53.38.68:55056"
4634,2896,\N,"2014-10-16 20:35:16","ready","ready","jiyoungoh","50.53.38.68:55056"
4635,2896,\N,"2014-10-16 20:35:21","text","Great. Next, I would like you to discuss your expectations of this course. Why did you enroll in the course and what do you hope to take away from it?","VirtualCarolyn","128.2.220.118:34192"
4636,2906,\N,"2014-10-16 20:35:23","presence","join","WenxianWang","99.240.214.203:51552"
4637,2887,\N,"2014-10-16 20:35:24","text","Retest","JeffKCT","68.196.18.77:54844"
4638,2906,\N,"2014-10-16 20:35:24","text","Hi, I'm VirtualCarolyn. Throughout this course, I will be facilitating your group discussions about the course material.","VirtualCarolyn","128.2.220.118:34199"
4639,2905,\N,"2014-10-16 20:35:24","presence","join","Nissam","138.210.235.219:56794"
4640,2885,\N,"2014-10-16 20:35:25","ready","ready","Odessa","67.204.45.46:50581"
4641,2905,\N,"2014-10-16 20:35:26","text","Hi, I'm VirtualCarolyn. Throughout this course, I will be facilitating your group discussions about the course material.","VirtualCarolyn","128.2.220.118:34198"
4642,2888,\N,"2014-10-16 20:35:27","text","I am very interested in text mining","Oli","128.2.214.33:59609"
4643,2885,\N,"2014-10-16 20:35:27","text","Great. Next, I would like you to discuss your expectations of this course. Why did you enroll in the course and what do you hope to take away from it?","VirtualCarolyn","128.2.220.118:34184"
4644,2887,\N,"2014-10-16 20:35:29","text","hello","Mesbah","79.170.54.231:3658"
4645,2906,\N,"2014-10-16 20:35:30","text","Let's start by introducing yourselves. Take a minute to get to know each other.","VirtualCarolyn","128.2.220.118:34199"
4646,2896,\N,"2014-10-16 20:35:31","ready","global unready","VirtualCarolyn","128.2.220.118:34192"
4647,2905,\N,"2014-10-16 20:35:32","text","Let's start by introducing yourselves. Take a minute to get to know each other.","VirtualCarolyn","128.2.220.118:34198"
4648,2896,\N,"2014-10-16 20:35:33","ready","global unready","VirtualCarolyn","128.2.220.118:34192"
4649,2896,\N,"2014-10-16 20:35:35","text","Take your time to discuss this - we'll move on when everyone is ready.","VirtualCarolyn","128.2.220.118:34192"
4650,2906,\N,"2014-10-16 20:35:36","text","When you've finished introducing each other, press the \We're Ready\ button (or type \ready\) to begin.","VirtualCarolyn","128.2.220.118:34199"
4651,2885,\N,"2014-10-16 20:35:37","ready","global unready","VirtualCarolyn","128.2.220.118:34184"
4652,2905,\N,"2014-10-16 20:35:38","text","When you've finished introducing each other, press the \We're Ready\ button (or type \ready\) to begin.","VirtualCarolyn","128.2.220.118:34198"
4653,2888,\N,"2014-10-16 20:35:38","text","oh, great!  that&#39;s my areas","CarolynRose","128.2.210.208:54120"
4654,2885,\N,"2014-10-16 20:35:39","ready","global unready","VirtualCarolyn","128.2.220.118:34184"
4655,2887,\N,"2014-10-16 20:35:39","presence","leave","Mesbah","79.170.54.231:3658"
4656,2897,\N,"2014-10-16 20:35:40","presence","leave","Sakinah","132.234.107.53:50424"
4657,2885,\N,"2014-10-16 20:35:41","text","Take your time to discuss this - we'll move on when everyone is ready.","VirtualCarolyn","128.2.220.118:34184"
4658,2906,\N,"2014-10-16 20:35:43","ready","ready","WenxianWang","99.240.214.203:51552"
4659,2906,\N,"2014-10-16 20:35:44","presence","join","Raghu","107.132.63.33:49561"
4660,2906,\N,"2014-10-16 20:35:44","text","Great. Next, I would like you to discuss your expectations of this course. Why did you enroll in the course and what do you hope to take away from it?","VirtualCarolyn","128.2.220.118:34199"
4661,2905,\N,"2014-10-16 20:35:44","presence","join","Paul-OlivierDehaye","31.24.8.99:51950"
4662,2888,\N,"2014-10-16 20:35:45","text","do you have experience in this area?","CarolynRose","128.2.210.208:54120"
4663,2898,\N,"2014-10-16 20:35:46","text","I&#39;m in Melbourne Australia and looking forward to taking this MOOC. ","JamesPhyland","128.250.5.247:48668"
4664,2905,\N,"2014-10-16 20:35:47","text","hi","Paul-OlivierDehaye","31.24.8.99:51950"
4665,2887,\N,"2014-10-16 20:35:48","text","Well that was quick","JeffKCT","68.196.18.77:54844"
4666,2906,\N,"2014-10-16 20:35:54","ready","global unready","VirtualCarolyn","128.2.220.118:34199"
4667,2906,\N,"2014-10-16 20:35:56","ready","global unready","VirtualCarolyn","128.2.220.118:34199"
4668,2906,\N,"2014-10-16 20:35:56","text","Hi","WenxianWang","99.240.214.203:51552"
4669,2906,\N,"2014-10-16 20:35:58","text","Take your time to discuss this - we'll move on when everyone is ready.","VirtualCarolyn","128.2.220.118:34199"
4670,2905,\N,"2014-10-16 20:36:00","text","Hi All, this is Nissam here","Nissam","138.210.235.219:56794"
4671,2888,\N,"2014-10-16 20:36:04","text","ok, let&#39;s finish","CarolynRose","128.2.210.208:54120"
4672,2888,\N,"2014-10-16 20:36:05","ready","ready","CarolynRose","128.2.210.208:54120"
4673,2888,\N,"2014-10-16 20:36:06","private","Thanks, CarolynRose. Hang on until everyone else is ready...","VirtualCarolyn","128.2.220.118:34187"
4674,2888,\N,"2014-10-16 20:36:09","text","a bit, but it&#39;s always good to learn more","Oli","128.2.214.33:59609"
4675,2906,\N,"2014-10-16 20:36:10","text","Hey","Raghu","107.132.63.33:49561"
4676,2888,\N,"2014-10-16 20:36:11","ready","ready","Oli","128.2.214.33:59609"
4677,2888,\N,"2014-10-16 20:36:12","text","Thanks for this pleasant chat. That's it for today. I will see you again once the course has started. Then we will have the opportunity to discuss what you have learned in the lessons. Have a good time. ","VirtualCarolyn","128.2.220.118:34187"
4678,2906,\N,"2014-10-16 20:36:16","ready","ready","Raghu","107.132.63.33:49561"
4679,2885,\N,"2014-10-16 20:36:17","presence","leave","Odessa","67.204.45.46:50581"
4680,2906,\N,"2014-10-16 20:36:18","private","Hang on until the rest of your team is ready, Raghu.","VirtualCarolyn","128.2.220.118:34199"
4681,2905,\N,"2014-10-16 20:36:20","text","hi Nissam","Paul-OlivierDehaye","31.24.8.99:51950"
4682,2888,\N,"2014-10-16 20:36:24","ready","global unready","VirtualCarolyn","128.2.220.118:34187"
4683,2898,\N,"2014-10-16 20:36:25","text","Where are you and what do you hope to learn George. ","JamesPhyland","128.250.5.247:48668"
4684,2905,\N,"2014-10-16 20:36:26","text","Hi Paul","Nissam","138.210.235.219:56794"
4685,2888,\N,"2014-10-16 20:36:28","presence","leave","VirtualCarolyn","128.2.220.118:34187"
4686,2905,\N,"2014-10-16 20:36:30","text","are you ready?","Paul-OlivierDehaye","31.24.8.99:51950"
4687,2905,\N,"2014-10-16 20:36:39","text","let&#39;s say i am","Paul-OlivierDehaye","31.24.8.99:51950"
4688,2911,\N,"2014-10-16 20:36:39","presence","join","VirtualCarolyn","128.2.220.118:34202"
4689,2905,\N,"2014-10-16 20:36:40","ready","ready","Paul-OlivierDehaye","31.24.8.99:51950"
4690,2888,\N,"2014-10-16 20:36:40","image","http://www.cs.cmu.edu/~cprose","CarolynRose","128.2.210.208:54120"
4691,2905,\N,"2014-10-16 20:36:42","private","Thanks, Paul-OlivierDehaye. Make sure your team is in agreement.","VirtualCarolyn","128.2.220.118:34198"
4692,2911,\N,"2014-10-16 20:36:45","presence","join","Odessa","67.204.45.46:50613"
4693,2911,\N,"2014-10-16 20:36:47","text","Hi, I'm VirtualCarolyn. Throughout this course, I will be facilitating your group discussions about the course material.","VirtualCarolyn","128.2.220.118:34202"
4694,2906,\N,"2014-10-16 20:36:48","presence","leave","WenxianWang","99.240.214.203:51552"
4695,2896,\N,"2014-10-16 20:36:52","text","I am not too sure what to expect honestly. I was just curious what this is all about. The word &quot;data&quot; and &quot;analytics&quot; faccinates me. :)","jiyoungoh","50.53.38.68:55056"
4696,2888,\N,"2014-10-16 20:36:53","presence","leave","Oli","128.2.214.33:59609"
4697,2911,\N,"2014-10-16 20:36:53","text","Let's start by introducing yourselves. Take a minute to get to know each other.","VirtualCarolyn","128.2.220.118:34202"
4698,2887,\N,"2014-10-16 20:36:53","presence","leave","JeffKCT","68.196.18.77:54844"
4699,2905,\N,"2014-10-16 20:36:55","text","yes am ready","Nissam","138.210.235.219:56794"
4700,2885,\N,"2014-10-16 20:36:56","presence","leave","Oliver","128.2.214.33:59609"
4701,2888,\N,"2014-10-16 20:36:57","presence","leave","CarolynRose","128.2.210.208:54120"
4702,2905,\N,"2014-10-16 20:36:57","ready","ready","Nissam","138.210.235.219:56794"
4703,2905,\N,"2014-10-16 20:36:58","text","Great. Next, I would like you to discuss your expectations of this course. Why did you enroll in the course and what do you hope to take away from it?","VirtualCarolyn","128.2.220.118:34198"
4704,2898,\N,"2014-10-16 20:36:58","text","ready","George","129.107.25.207:55010"
4705,2898,\N,"2014-10-16 20:36:59","private","Hang on until the rest of your team is ready, George.","VirtualCarolyn","128.2.220.118:34194"
4706,2911,\N,"2014-10-16 20:36:59","text","When you've finished introducing each other, press the \We're Ready\ button (or type \ready\) to begin.","VirtualCarolyn","128.2.220.118:34202"
4707,2898,\N,"2014-10-16 20:37:07","ready","ready","JamesPhyland","128.250.5.247:48668"
4708,2905,\N,"2014-10-16 20:37:08","ready","global unready","VirtualCarolyn","128.2.220.118:34198"
4709,2898,\N,"2014-10-16 20:37:09","text","Great. Next, I would like you to discuss your expectations of this course. Why did you enroll in the course and what do you hope to take away from it?","VirtualCarolyn","128.2.220.118:34194"
4710,2905,\N,"2014-10-16 20:37:10","ready","global unready","VirtualCarolyn","128.2.220.118:34198"
4711,2905,\N,"2014-10-16 20:37:12","text","Take your time to discuss this - we'll move on when everyone is ready.","VirtualCarolyn","128.2.220.118:34198"
4712,2898,\N,"2014-10-16 20:37:19","ready","global unready","VirtualCarolyn","128.2.220.118:34194"
4713,2889,\N,"2014-10-16 20:37:20","text","We need to start wrapping up this discussion. Get ready to move on.","VirtualCarolyn","128.2.220.118:34188"
4714,2896,\N,"2014-10-16 20:37:20","text","Hi my name is Lisa and I am a mother of two young men. I work as a financial analyst at a major corporation","LisaDavis","174.108.2.50:58926"
4715,2888,\N,"2014-10-16 20:37:21","presence","join","Oli","128.2.214.33:59646"
4716,2898,\N,"2014-10-16 20:37:21","ready","global unready","VirtualCarolyn","128.2.220.118:34194"
4717,2898,\N,"2014-10-16 20:37:23","text","Take your time to discuss this - we'll move on when everyone is ready.","VirtualCarolyn","128.2.220.118:34194"
4718,2905,\N,"2014-10-16 20:37:34","text","i m just trying it out right now","Paul-OlivierDehaye","31.24.8.99:51950"
4719,2911,\N,"2014-10-16 20:37:53","presence","leave","Odessa","67.204.45.46:50613"
4720,2905,\N,"2014-10-16 20:37:55","text","did you click &quot;We&#39;re ready&quot;, Nissam?","Paul-OlivierDehaye","31.24.8.99:51950"
4721,2911,\N,"2014-10-16 20:38:05","presence","join","Odessa","67.204.45.46:50613"
4722,2889,\N,"2014-10-16 20:38:06","ready","ready","DavidFulcher","130.130.37.85:50343"
4723,2898,\N,"2014-10-16 20:38:07","text","I want to learn about demand driven activity, time usage, for learning. I&#39;m a business analyst so I do lots of stats.","JamesPhyland","128.250.5.247:48668"
4724,2889,\N,"2014-10-16 20:38:08","text","Great. Next, I would like you to discuss your expectations of this course. Why did you enroll in the course and what do you hope to take away from it?","VirtualCarolyn","128.2.220.118:34188"
4725,2888,\N,"2014-10-16 20:38:13","presence","leave","Oli","128.2.214.33:59646"
4726,2898,\N,"2014-10-16 20:38:14","ready","ready","JamesPhyland","128.250.5.247:48668"
4727,2898,\N,"2014-10-16 20:38:15","private","Thanks, JamesPhyland. Hang on until everyone else is ready...","VirtualCarolyn","128.2.220.118:34194"
4728,2911,\N,"2014-10-16 20:38:15","presence","leave","Odessa","67.204.45.46:50613"
4729,2905,\N,"2014-10-16 20:38:16","text","yes, I did that Paul","Nissam","138.210.235.219:56794"
4730,2889,\N,"2014-10-16 20:38:16","presence","leave","DavidFulcher","130.130.37.85:50343"
4731,2889,\N,"2014-10-16 20:38:18","ready","global unready","VirtualCarolyn","128.2.220.118:34188"
4732,2889,\N,"2014-10-16 20:38:20","ready","global unready","VirtualCarolyn","128.2.220.118:34188"
4733,2889,\N,"2014-10-16 20:38:22","text","Take your time to discuss this - we'll move on when everyone is ready.","VirtualCarolyn","128.2.220.118:34188"
4734,2897,\N,"2014-10-16 20:38:25","text","We need to start wrapping up this discussion. Get ready to move on.","VirtualCarolyn","128.2.220.118:34193"
4735,2896,\N,"2014-10-16 20:38:26","text","cool. nice to meet you. :)","jiyoungoh","50.53.38.68:55056"
4736,2915,\N,"2014-10-16 20:38:29","presence","join","VirtualCarolyn","128.2.220.118:34204"
4737,2916,\N,"2014-10-16 20:38:29","presence","join","VirtualCarolyn","128.2.220.118:34205"
4738,2905,\N,"2014-10-16 20:38:30","text","me too","Paul-OlivierDehaye","31.24.8.99:51950"
4739,2915,\N,"2014-10-16 20:38:37","presence","join","Carolyn","128.2.210.208:54154"
4740,2905,\N,"2014-10-16 20:38:37","text","and we got a new question, i guess","Paul-OlivierDehaye","31.24.8.99:51950"
4741,2915,\N,"2014-10-16 20:38:37","text","Hi, I'm VirtualCarolyn. Throughout this course, I will be facilitating your group discussions about the course material.","VirtualCarolyn","128.2.220.118:34204"
4742,2915,\N,"2014-10-16 20:38:38","presence","join","Rob","202.50.208.71:58231"
4743,2916,\N,"2014-10-16 20:38:42","presence","join","ElleWang","160.39.173.57:64122"
4744,2896,\N,"2014-10-16 20:38:42","text"," I was interested in course for the same reason. ","LisaDavis","174.108.2.50:58926"
4745,2915,\N,"2014-10-16 20:38:43","text","Hi Rob!","Carolyn","128.2.210.208:54154"
